Specified 0	752	[Specified 0] takes a firm grip on the rope and descends.	00_cv_poko_kohara_well.stringtable
Specified 1	394	"Take us into the storm, [Specified 1]. There's nothing we can do here."	12_si_fleet_battle.stringtable
Say nothing.	306	[Say nothing.]	00_cv_mukumu.stringtable
Attack	260	[Attack] "You'll have to take it the hard way."	00_cv_nairi.stringtable
Leave	213	[Leave] "Farewell."	cv_test_pet_sac.stringtable
Player Name	199	"I'm [Player Name], captain of [Player Ship]."	00_cv_drummer.stringtable
Player Ship	188	Xoti's journey through the Deadfire on [Player Ship] is an eye-opening experience for the sheltered farm girl. After man…	endgameslides.stringtable
Specified 2	179	[Specified 2] stands at the rail. "Much as I hate agreeing with [Specified 0]... damn. There ain't no charts for what li…	12_si_fleet_battle.stringtable
Leave.	174	[Leave.]	00_cv_poko_kohara_well.stringtable
Specified 4	162	A hand falls on your shoulder, and you turn to see [Specified 4]. "We go now where gods would not have us tread. Yet the…	12_si_fleet_battle.stringtable
Lie	156	[Lie] "He kept the koīki for himself and paid for my silence."	00_cv_mukumu.stringtable
Specified 3	131	Perched on the rail, one hand clinging to the rigging, [Specified 3] laughs, lip curling over uneven teeth. "You kidding…	12_si_fleet_battle.stringtable
SkillCheck 0	79	Partway through, [SkillCheck 0] starts to lag behind. Panic sets in as the remaining distance becomes clear.  [SkillChec…	09_si_sea_cave_swim.stringtable
Specified 5	51	"I'm not sure what to tell you..." [Specified 5] says. "It looks like a normal rope. Should be safe to cross."	re_si_2609_victims.stringtable
Shrug.	49	[Shrug.]	00_cv_himuihi.stringtable
Player Animal Companion	33	"[Player Animal Companion] and I don't mind trudging through the hatchery."	00_cv_himuihi.stringtable
Turn around.	27	[Turn around.]	06_si_bm_alleys.stringtable
ShipDuel_OpponentShip	26	The crew of [ShipDuel_OpponentShip] spring into action, scrambling across the deck. Some scurry up the masts to furl and…	re_si_ship_combat.stringtable
Listen.	25	[Listen.]	04_cv_post_magrans_teeth.stringtable
Attack.	23	[Attack.] "Your mistake."	09_cv_galian.stringtable
Nod.	23	[Nod.]	03_cv_martino.stringtable
Do nothing.	22	[Do nothing.]	03_si_the_duel.stringtable
ShipDuel_PlayerShip	22	"You've got a point there. Even [ShipDuel_PlayerShip] can't outrun the Rauataian fleet."	15_cv_fleet_master_okaya.stringtable
Leave it be.	20	[Leave it be.]	03_si_vtc_hq_infiltration.stringtable
Draw your weapons and attack.	18	[Draw your weapons and attack.]	26_si_lich_ext_wraiths.stringtable
Whisper	17	[Whisper] "Not every guard is as steadfast as her. Try later... with some spare change."	08_cv_merchant_guard_argument.stringtable
Return the way you came.	16	[Return the way you came.]	26_si__collapsed_mine_guardians.stringtable
Ambush and attack.	14	[Ambush and attack.]	26_si__collapsed_mine_guardians.stringtable
Walk away.	13	[Walk away.]	06_cv_roparu_beggar.stringtable
Go forward.	12	[Go forward.]	06_si_bm_alleys.stringtable
Press down on the metalwork.	12	[Press down on the metalwork.]	22_si_map.stringtable
Go left.	12	[Go left.]	06_si_bm_alleys.stringtable
Go right.	11	[Go right.]	06_si_bm_alleys.stringtable
Wait.	10	[Wait.]	00_cv_ruanu.stringtable
Approach openly.	10	[Approach openly.]	re_si_campsite_xaurips.stringtable
Sneak closer to observe.	10	[Sneak closer to observe.]	26_si_lich_ext_wraiths.stringtable
Player Race	8	<ispeech>What is this, [Player Race]-creature?</ispeech> The vithrack cocks its head and focuses its many eyes on you.  …	06_cv_zahak.stringtable
Wait and observe.	8	[Wait and observe.]	03_si_the_duel.stringtable
Surrender to the sensation.	7	[Surrender to the sensation.]	companion_tekehu_arc.stringtable
Go back.	7	[Go back.]	11_si_swim.stringtable
Repress the sensation.	7	[Repress the sensation.]	companion_tekehu_arc.stringtable
Use spyglass.	7	[Use spyglass.]	re_si_campsite_xaurips.stringtable
Back away with your hands up.	7	[Back away with your hands up.] "You're right, I do know."	13_cv_guard_horn_01.stringtable
Player Culture	7	He grins. "Ekera! Then you will also share my name when you take this back to [Player Culture]?"	04_cv_takano.stringtable
Reconsider your options...	6	[Reconsider your options...]	re_si_city_collapsed_tunnel.stringtable
Turn back.	6	[Turn back.]	05_si_dragon_door.stringtable
Take the pendant.	6	[Take the pendant.]	re_cv_location_abandoned_ship.stringtable
Sail into the storm.	6	[Sail into the storm.] "Catch me if you can, you bastard."	12_si_fleet_battle.stringtable
Deactivate the machine.	6	[Deactivate the machine.]	12_cv_machine.stringtable
Sneak past the area.	6	[Sneak past the area.]	26_si__collapsed_mine_guardians.stringtable
Remain silent.	6	[Remain silent.]	03_cv_vtc_exile_trial.stringtable
Fight against it.	6	[Fight against it.]	13_cv_syri.stringtable
Continue cautiously forward.	6	[Continue cautiously forward.]	26_si__collapsed_mine_guardians.stringtable
Flee.	6	[Flee.] "Nothing!"	07_cv_magran_high_priest.stringtable
Let the visions come.	6	[Let the visions come.]	13_cv_syri.stringtable
Show the suolenet.	5	[Show the suolenet.]	06_cv_bm_lift_guard.stringtable
Continue watching.	5	[Continue watching.]	re_si_2607_pirates_booty.stringtable
Show the medallion.	5	[Show the medallion.] "Any chance this will get me past you?"	06_cv_bm_lift_guard.stringtable
Search the location.	5	[Search the location.]	re_cv_location_abandoned_ship.stringtable
Keep searching this location.	5	[Keep searching this location.]	re_cv_location_abandoned_ship.stringtable
Read her soul.	5	[Read her soul.]	02_cv_beza.stringtable
Reach for the soul.	5	[Reach for the soul.]	10_cv_rathun_soul_lair.stringtable
Strengthen the spell of imprisonment.	5	[Strengthen the spell of imprisonment.]	05_cv_dragon_dais.stringtable
Shrug	5	[Shrug] "Couldn't be helped."	03_cv_avetta.stringtable
Stay here.	5	[Stay here.] 	03_cv_heist_window_escape.stringtable
Attack without warning.	5	[Attack without warning.]	13_cv_guard_horn_03.stringtable
Shout	5	[Shout] "Kill him, Larro!" 	03_si_the_duel.stringtable
Wink	5	[Wink] "I'll bet you say that to all of your clients."	03_cv_abocco.stringtable
Search the area.	5	[Search the area.]	26_si_lagufaeth_ambush.stringtable
Leave the shrine and continue your travels.	5	[Leave the shrine and continue your travels.]	re_si_shrine_rest.stringtable
Shake your head.	5	[Shake your head.]	04_cv_backer_npc_granis.stringtable
Identify it.	4	[Identify it.]	re_si_sea_creature_gaint_jellyfish.stringtable
Attempt to flee.	4	[Attempt to flee.]	26_si_lagufaeth_ambush.stringtable
Draw your weapon.	4	[Draw your weapon.] "If that's how you want it, kid." 	03_cv_tiela.stringtable
Examine the machine.	4	[Examine the machine.]	02_cv_poko_kohara_machinery.stringtable
Lie.	4	[Lie.] "I left some important papers behind." 	03_bs_vtc_hq_night_watch.stringtable
Depress the kraken mural.	4	[Depress the kraken mural.]	15_si_mural.stringtable
Hold the staff firmly.	4	[Hold the staff firmly.] "What in Eora..."	22_si_menpwgra_tree_01.stringtable
Wrestle the staff down.	4	[Wrestle the staff down.] "You're not going anywhere."	22_si_menpwgra_tree_01.stringtable
Nod along.	4	[Nod along.]	17_cv_principi_boss_betrayal.stringtable
Bid 2000 cp.	4	[Bid 2000 cp.]	14_cv_slave_auction.stringtable
Roll your eyes.	4	[Roll your eyes.]	17_cv_aeldys_betrayal.stringtable
The bird, Amira.	4	[The bird, Amira.]	26_si_desert_ruin_burial.stringtable
Climb up.	4	[Climb up.]	07_si_sepulchers_tunnels.stringtable
Enter the cave.	4	[Enter the cave.]	26_si_flame_naga_cave.stringtable
Take the mace.	4	[Take the mace.]	26_cv_soulbound_mace.stringtable
Stay.	4	[Stay.]	02_cv_shortcut_descent.stringtable
Search the surrounding area.	4	[Search the surrounding area.]	re_si_2609_victims.stringtable
Destroy the tree.	4	[Destroy the tree.]	22_si_menpwgra_tree_01.stringtable
Kiss him.	4	[Kiss him.]	companion_aloth_hub.stringtable
Throw a grappling hook across the gap.	4	[Throw a grappling hook across the gap.]	11_si_grapple_dining_hall_side.stringtable
Examine the altar.	4	[Examine the altar.]	10_si_magran_elevator.stringtable
Rotate the dial counterclockwise.	4	[Rotate the dial counterclockwise.]	05_si_dragon_door.stringtable
Crack your knuckles.	4	[Crack your knuckles.] "About that contract..." 	03_cv_vtc_clerk.stringtable
Pick up the staff.	4	[Pick up the staff.] "What..."	22_si_menpwgra_tree_01.stringtable
Clear your throat.	4	[Clear your throat.]	05_si_circle_of_archmagi.stringtable
Continue traveling.	4	[Continue traveling.]	re_si_stampede.stringtable
Attack the cultists.	4	[Attack the cultists.]	26_si_sanguine_harvest_ritual.stringtable
Press the dial.	4	[Press the dial.]	05_si_dragon_door.stringtable
The angler fish, Ngati.	4	[The angler fish, Ngati.]	26_si_desert_ruin_burial.stringtable
SkillCheck 1	4	Partway through, [SkillCheck 0] starts to lag behind. Panic sets in as the remaining distance becomes clear.  [SkillChec…	09_si_sea_cave_swim.stringtable
Give gloves.	4	[Give gloves.] "I have them right here for you."	05_cv_fessina.stringtable
Eat and rest.	4	[Eat and rest.]	re_si_campsite_explorers.stringtable
The eels, Rikuhu.	4	[The eels, Rikuhu.]	26_si_desert_ruin_burial.stringtable
Observe the ritual.	4	[Observe the ritual.]	26_si_sanguine_harvest_ritual.stringtable
Investigate your surroundings.	4	[Investigate your surroundings.]	re_si_shrine_thieves.stringtable
Brandish your weapon.	4	[Brandish your weapon.] "Take a gander and find out."	10_cv_dragon_magma.stringtable
ShipDuel_Opponent	4	For your surrender, [ShipDuel_Opponent] demands: [ShipDuel_SurrenderCost]	re_si_ship_combat.stringtable
Cross your arms over your chest.	4	[Cross your arms over your chest.] "Do I look like prey to you?"	10_cv_dragon_magma.stringtable
Read the soul.	4	[Read the soul.]	05_cv_thief_soul.stringtable
Rotate the dial clockwise.	4	[Rotate the dial clockwise.]	05_si_dragon_door.stringtable
Hide in the undergrowth.	3	[Hide in the undergrowth.]	26_si_lagufaeth_ambush.stringtable
Burn the bodies.	3	[Burn the bodies.]	re_si_2609_victims.stringtable
Leave them be.	3	[Leave them be.]	re_si_campsite_explorers.stringtable
Let them fight.	3	[Let them fight.]	companion_tekehu_relationship_maia.stringtable
Place the conch in the statue's open hand.	3	[Place the conch in the statue's open hand.]	06_si_statue_sealed_door.stringtable
ERROR	3	[ERROR] AI used unrecognized ship combat action.	re_si_ship_combat.stringtable
Stand your ground.	3	[Stand your ground.] "I am a serious client." 	03_cv_vtc_bounty_giver.stringtable
Pretend to drink from an empty tankard.	3	[Pretend to drink from an empty tankard.]	13_cv_pirate_drunkard.stringtable
Cross the rope.	3	[Cross the rope.]	11_si_grapple_dining_hall_side.stringtable
Let go of the memory.	3	[Let go of the memory.]	22_cv_soul_vision_01.stringtable
Search for the presence of other minds.	3	[Search for the presence of other minds.]	26_si__collapsed_mine_guardians.stringtable
Try to break the machine.	3	[Try to break the machine.]	15_si_engwithan_pylon_c.stringtable
Bow	3	[Bow] "Honored to meet you."	04_cv_prince_aruihi.stringtable
Attempt to steal from them.	3	[Attempt to steal from them.]	re_si_campsite_explorers.stringtable
Do something else.	3	[Do something else.]	13_si_crane_cargo.stringtable
Slot 0	3	You make to continue your journey, only to watch helplessly as [Slot 0] stumbles over a vine ahead of you. You hear a ne…	re_si_wilder_trap.stringtable
Pray at the shrine and rest.	3	[Pray at the shrine and rest.]	re_si_shrine_rest.stringtable
Return to your ship.	3	[Return to your ship.]	re_si_plague_ship_dead_tiny.stringtable
OrlansHeadGame_PlayerTotalScore	3	[Specified 1] rubs their palms together. "The final score is [OrlansHeadGame_OpponentTotalScore] for [Specified 0], and …	re_si_crew_event_orlans_head.stringtable
Show her the suolenet.	3	[Show her the suolenet.]	06_cv_undercroft_captain.stringtable
Throw the mushroom on the ground.	3	[Throw the mushroom on the ground.]	re_si_spore_lures.stringtable
Ignore the sensation.	3	[Ignore the sensation.]	22_si_menpwgra_tree_01.stringtable
Take it.	3	[Take it.]	06_cv_botaro_soul.stringtable
Toast	3	[Toast] "To the fleet."	companion_maia_relationship_player.stringtable
Study the tree, see if it is beyond healing.	3	[Study the tree, see if it is beyond healing.]	22_si_menpwgra_tree_01.stringtable
Give book.	3	[Give book.] "The Brawler's grimoire, wrested from the hands of an ancient lich." 	28_cv_nemnok_base.stringtable
Depress the whale mural.	3	[Depress the whale mural.]	15_si_mural.stringtable
Bury the bodies.	3	[Bury the bodies.]	re_si_2609_victims.stringtable
Meditate on your travails and rest.	3	[Meditate on your travails and rest.] 	re_si_shrine_rest.stringtable
Take the sword.	3	[Take the sword.]	companion_cv_talkingweapon01.stringtable
Go back, reconsider.	3	[Go back, reconsider.]	22_si_map.stringtable
Desecrate the shrine.	3	[Desecrate the shrine.]	re_si_shrine_rest.stringtable
Let him go.	3	[Let him go.]	06_cv_bm_lift_guard.stringtable
Inspect the statue.	3	[Inspect the statue.]	06_si_statue_sealed_door.stringtable
Slap him.	3	[Slap him.]	00_cv_tamau.stringtable
Feel the bark, listen.	3	[Feel the bark, listen.]	22_si_menpwgra_tree_01.stringtable
Eat the mushroom.	3	[Eat the mushroom.]	re_si_spore_lures.stringtable
Search for the presence of spirits.	3	[Search for the presence of spirits.]	re_si_2609_victims.stringtable
Approach and identify it.	3	[Approach and identify it.]	re_si_shrine_rest.stringtable
Examine the spore.	3	[Examine the spore.]	re_si_spore_lures.stringtable
Glare silently.	3	[Glare silently.]	09_cv_erol.stringtable
Bluff/Lie	3	[Bluff/Lie] "I know you're after the adra! Your partner squealed. The jig is up." 	03_cv_baer.stringtable
Search the area around the altar.	2	[Search the area around the altar.]	26_si_sanguine_harvest_empty.stringtable
Cast a spell to break the cargo's rope.	2	[Cast a spell to break the cargo's rope.]	13_si_crane_cargo.stringtable
Clear your throat back at him.	2	[Clear your throat back at him.]	13_cv_lurtharn.stringtable
